name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Aracaju, SE, Brasil",2003-10-31,27.9,24.7,26.8,30.3,24.7,28.3,21.1,71.1,,0.0,0.0,,,,,11.2,90.0,,26.7,2.0,,,,,2003-10-31T04:57:22,2003-10-31T17:26:33,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-01,27.9,25.9,27.2,30.3,25.9,28.6,21.6,71.9,,0.0,0.0,,,,,9.4,90.0,,33.3,2.0,,,,,2003-11-01T04:57:03,2003-11-01T17:26:47,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-02,28.6,26.4,27.5,32.2,26.4,29.7,23.0,76.4,,0.0,0.0,,,,,14.8,90.0,,33.3,2.0,,,,,2003-11-02T04:56:46,2003-11-02T17:27:02,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-03,29.4,26.7,28.1,33.0,26.7,30.7,23.8,77.8,,0.0,0.0,,,,,20.5,81.4,,50.0,2.0,,,,,2003-11-03T04:56:29,2003-11-03T17:27:18,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-04,26.2,23.7,25.0,26.2,23.7,25.0,23.1,89.5,,0.0,0.0,,,,,9.4,156.9,,100.0,2.0,,,,,2003-11-04T04:56:14,2003-11-04T17:27:34,0.35,Overcast,Cloudy skies throughout the day.,cloudy,83096099999
"Aracaju, SE, Brasil",2003-11-05,24.9,23.4,24.4,24.9,23.4,24.4,22.9,91.2,,0.0,0.0,,,,,18.4,180.0,,100.0,2.0,,,,,2003-11-05T04:55:59,2003-11-05T17:27:50,0.38,Overcast,Cloudy skies throughout the day.,cloudy,83096099999
"Aracaju, SE, Brasil",2003-11-06,25.7,24.4,25.1,25.7,24.4,25.1,23.3,89.9,,0.0,0.0,,,,,11.2,166.1,,100.0,2.0,,,,,2003-11-06T04:55:46,2003-11-06T17:28:08,0.42,Overcast,Cloudy skies throughout the day.,cloudy,83096099999
"Aracaju, SE, Brasil",2003-11-07,26.7,24.9,26.1,26.7,24.9,26.1,23.7,87.1,,0.0,0.0,,,,,7.6,180.0,,70.0,2.0,,,,,2003-11-07T04:55:33,2003-11-07T17:28:26,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-08,28.2,26.4,27.4,32.2,26.4,30.0,23.8,80.6,,0.0,0.0,,,,,13.0,90.0,,40.0,2.0,,,,,2003-11-08T04:55:22,2003-11-08T17:28:45,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-09,28.2,26.2,27.5,31.7,26.2,29.8,23.1,76.8,,0.0,0.0,,,,,14.8,90.0,,26.7,2.0,,,,,2003-11-09T04:55:12,2003-11-09T17:29:04,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-10,28.4,26.2,27.5,31.6,26.2,29.4,22.4,74.0,,0.0,0.0,,,,,11.2,90.0,,36.7,2.0,,,,,2003-11-10T04:55:02,2003-11-10T17:29:24,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-11,27.4,25.6,26.7,30.0,25.6,28.4,22.5,77.7,,0.0,0.0,,,,,11.2,90.0,,46.7,2.0,,,,,2003-11-11T04:54:54,2003-11-11T17:29:45,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-12,27.9,25.9,27.0,30.5,25.9,28.6,22.0,74.3,,0.0,0.0,,,,,7.6,123.8,,56.7,2.0,,,,,2003-11-12T04:54:47,2003-11-12T17:30:06,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-13,28.2,26.4,27.1,31.4,26.4,28.2,23.3,79.7,,0.0,0.0,,,,,14.8,90.0,,33.3,2.0,,,,,2003-11-13T04:54:41,2003-11-13T17:30:28,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-14,28.1,27.9,28.0,31.8,31.2,31.5,23.5,76.8,,0.0,0.0,,,,,20.5,90.0,,10.0,2.0,,,,,2003-11-14T04:54:36,2003-11-14T17:30:51,0.69,Clear,Clear conditions throughout the day.,clear-day,83096099999
"Aracaju, SE, Brasil",2003-11-15,28.2,26.2,27.3,31.7,26.2,29.3,23.0,77.6,,0.0,0.0,,,,,11.2,121.7,,66.7,2.0,,,,,2003-11-15T04:54:32,2003-11-15T17:31:14,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-16,28.9,25.4,26.7,32.8,25.4,28.0,23.7,84.1,,0.0,0.0,,,,,18.4,100.1,,63.3,2.0,,,,,2003-11-16T04:54:29,2003-11-16T17:31:38,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-17,28.9,26.1,27.1,33.7,26.1,28.7,23.8,82.6,,0.0,0.0,,,,,11.2,105.1,,93.3,2.0,,,,,2003-11-17T04:54:27,2003-11-17T17:32:02,0.75,Overcast,Cloudy skies throughout the day.,cloudy,83096099999
"Aracaju, SE, Brasil",2003-11-18,28.6,26.1,27.7,31.6,26.1,29.6,22.1,71.6,,0.0,0.0,,,,,13.0,90.0,,46.7,2.0,,,,,2003-11-18T04:54:26,2003-11-18T17:32:27,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-19,28.4,26.1,27.6,31.9,26.1,29.4,21.7,70.4,,0.0,0.0,,,,,14.8,90.0,,16.7,2.0,,,,,2003-11-19T04:54:27,2003-11-19T17:32:53,0.85,Clear,Clear conditions throughout the day.,clear-day,83096099999
"Aracaju, SE, Brasil",2003-11-20,28.2,26.7,27.3,32.1,26.7,29.5,23.2,78.4,,0.0,0.0,,,,,13.0,90.0,,43.3,2.0,,,,,2003-11-20T04:54:28,2003-11-20T17:33:19,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-21,28.4,25.9,27.2,32.6,25.9,29.3,24.3,84.5,,0.0,0.0,,,,,11.2,140.0,,55.0,2.0,,,,,2003-11-21T04:54:31,2003-11-21T17:33:46,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-22,28.9,24.1,27.1,33.0,24.1,29.7,23.2,80.0,,0.0,0.0,,,,,13.0,123.5,,50.0,2.0,,,,,2003-11-22T04:54:34,2003-11-22T17:34:13,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-23,26.6,25.7,26.2,26.6,25.7,26.2,22.2,78.4,,0.0,0.0,,,,,11.2,140.0,,70.0,2.0,,,,,2003-11-23T04:54:39,2003-11-23T17:34:41,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-24,28.4,26.2,27.6,31.4,26.2,29.5,22.1,72.0,,0.0,0.0,,,,,11.2,90.0,,26.7,2.0,,,,,2003-11-24T04:54:45,2003-11-24T17:35:09,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-25,28.4,26.4,27.6,31.2,26.4,29.6,22.5,74.0,,0.0,0.0,,,,,14.8,90.0,,33.3,2.0,,,,,2003-11-25T04:54:52,2003-11-25T17:35:38,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-26,28.6,26.2,27.7,32.0,26.2,29.7,22.4,73.3,,0.0,0.0,,,,,14.8,90.0,,53.3,2.0,,,,,2003-11-26T04:55:00,2003-11-26T17:36:07,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,83096099999
"Aracaju, SE, Brasil",2003-11-27,28.2,26.2,27.5,30.7,26.2,29.1,21.4,69.5,,0.0,0.0,,,,,11.2,90.0,,20.0,2.0,,,,,2003-11-27T04:55:09,2003-11-27T17:36:36,0.12,Clear,Partly cloudy throughout the day.,clear-day,83096099999
