name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Caucaia, CE, Brasil",2003-10-31,30.6,25.7,27.7,33.4,25.7,29.4,21.9,71.2,0.0,0.0,0.0,,,,,37.1,111.1,1010.1,73.5,13.8,,,,,2003-10-31T05:11:03,2003-10-31T17:25:28,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82398099999
"Caucaia, CE, Brasil",2003-11-01,29.7,25.9,27.3,32.6,25.9,29.2,21.9,72.5,0.0,0.0,0.0,,,,,24.1,97.8,1011.0,68.3,13.6,,,,,2003-11-01T05:10:56,2003-11-01T17:25:31,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82398099999
"Caucaia, CE, Brasil",2003-11-02,30.1,25.7,27.5,32.6,25.7,28.8,21.2,69.0,0.0,0.0,0.0,,,,,25.9,93.9,1011.1,57.3,13.9,,,,,2003-11-02T05:10:49,2003-11-02T17:25:35,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82398099999
"Caucaia, CE, Brasil",2003-11-03,31.1,25.1,27.5,33.1,25.1,28.7,21.5,70.4,0.0,0.0,0.0,,,,,25.9,102.0,1010.2,40.4,14.0,,,,,2003-11-03T05:10:42,2003-11-03T17:25:40,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82398099999
"Caucaia, CE, Brasil",2003-11-04,30.4,24.9,27.8,33.4,24.9,29.5,22.1,71.6,0.0,0.0,0.0,,,,,18.4,102.8,1010.5,47.9,14.0,,,,,2003-11-04T05:10:37,2003-11-04T17:25:46,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82398099999
"Caucaia, CE, Brasil",2003-11-05,31.1,25.1,27.9,33.8,25.1,29.7,21.8,70.2,0.0,0.0,0.0,,,,,24.1,111.7,1011.1,45.7,14.0,,,,,2003-11-05T05:10:33,2003-11-05T17:25:53,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82398099999
"Caucaia, CE, Brasil",2003-11-06,31.1,25.9,27.9,33.8,25.9,29.9,22.0,71.0,0.0,0.0,0.0,,,,,27.7,99.6,1011.2,51.7,13.5,,,,,2003-11-06T05:10:29,2003-11-06T17:26:00,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82398099999
"Caucaia, CE, Brasil",2003-11-07,31.1,25.1,27.8,33.8,25.1,29.4,21.7,70.1,0.0,0.0,0.0,,,,,27.7,103.5,1010.2,58.3,13.9,,,,,2003-11-07T05:10:27,2003-11-07T17:26:09,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82398099999
"Caucaia, CE, Brasil",2003-11-08,30.4,26.1,28.1,32.6,26.1,30.0,21.3,67.2,0.0,0.0,0.0,,,,,27.7,103.2,1011.1,44.8,14.1,,,,,2003-11-08T05:10:25,2003-11-08T17:26:18,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82398099999
"Caucaia, CE, Brasil",2003-11-09,31.1,25.7,27.9,33.8,25.7,29.5,21.8,70.2,0.0,0.0,0.0,,,,,27.7,98.1,1011.0,53.5,14.1,,,,,2003-11-09T05:10:25,2003-11-09T17:26:27,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82398099999
