name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Manaus, AM, Brasil",2003-10-31,31.1,23.1,26.7,37.9,23.1,29.3,24.6,89.5,0.0,0.0,0.0,,,,,14.8,112.5,1010.0,91.4,12.2,,,,,2003-10-31T05:37:15,2003-10-31T17:50:23,0.21,Overcast,Cloudy skies throughout the day.,cloudy,"82111099999,82332099999"
"Manaus, AM, Brasil",2003-11-01,33.1,24.1,28.1,42.3,24.1,32.3,25.4,86.8,0.0,0.0,0.0,,,,,15.4,134.3,1009.3,82.0,11.7,,,,,2003-11-01T05:37:08,2003-11-01T17:50:26,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82111099999,82332099999"
"Manaus, AM, Brasil",2003-11-02,34.1,24.1,26.9,42.1,24.1,29.3,24.8,89.4,0.0,0.0,0.0,,,,,18.4,125.7,1009.6,86.6,12.3,,,,,2003-11-02T05:37:02,2003-11-02T17:50:29,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82111099999,82332099999"
"Manaus, AM, Brasil",2003-11-03,29.1,23.0,24.9,35.8,23.0,25.9,24.2,95.9,0.0,0.0,0.0,,,,,18.4,223.3,1011.5,90.3,10.6,,,,,2003-11-03T05:36:57,2003-11-03T17:50:34,0.31,Overcast,Cloudy skies throughout the day.,cloudy,"82111099999,82332099999"
"Manaus, AM, Brasil",2003-11-04,32.1,23.1,26.3,37.9,23.1,28.3,24.2,89.4,0.0,0.0,0.0,,,,,14.8,248.5,1011.1,86.7,9.6,,,,,2003-11-04T05:36:52,2003-11-04T17:50:39,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82111099999,82332099999"
"Manaus, AM, Brasil",2003-11-05,34.1,23.1,26.5,42.1,23.1,29.0,24.3,89.1,0.0,0.0,0.0,,,,,37.1,64.5,1011.2,87.2,11.7,,,,,2003-11-05T05:36:49,2003-11-05T17:50:45,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82111099999,82332099999"
"Manaus, AM, Brasil",2003-11-06,33.1,22.1,27.0,38.2,22.1,29.3,23.4,82.7,0.0,0.0,0.0,,,,,16.6,64.3,1010.4,60.7,11.6,,,,,2003-11-06T05:36:46,2003-11-06T17:50:51,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82111099999,82332099999"
"Manaus, AM, Brasil",2003-11-07,35.1,22.1,28.8,40.8,22.1,32.2,23.9,77.8,0.0,0.0,0.0,,,,,14.8,111.2,1008.7,51.6,11.6,,,,,2003-11-07T05:36:45,2003-11-07T17:50:59,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82111099999,82332099999"
"Manaus, AM, Brasil",2003-11-08,34.5,24.1,28.5,40.9,24.1,32.6,25.1,83.4,0.0,0.0,0.0,,,,,9.4,253.3,1008.6,70.3,11.6,,,,,2003-11-08T05:36:44,2003-11-08T17:51:07,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82111099999,82332099999"
"Manaus, AM, Brasil",2003-11-09,27.1,23.1,25.4,30.8,23.1,25.6,24.1,93.0,0.0,0.0,0.0,,,,,18.4,74.3,1010.3,83.7,12.2,,,,,2003-11-09T05:36:44,2003-11-09T17:51:16,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82111099999,82332099999"
