name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Natal, RN, Brasil",2003-10-31,31.1,26.1,29.1,35.6,26.1,32.5,22.9,69.7,0.0,0.0,0.0,,,,,37.1,135.3,1011.4,50.0,13.9,,,,,2003-10-31T04:55:11,2003-10-31T17:13:46,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82599099999
"Natal, RN, Brasil",2003-11-01,32.1,26.1,29.1,35.5,26.1,31.8,22.0,66.4,0.0,0.0,0.0,,,,,29.5,131.7,1011.7,63.3,13.6,,,,,2003-11-01T04:55:00,2003-11-01T17:13:53,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82599099999
"Natal, RN, Brasil",2003-11-02,32.1,26.1,28.9,35.0,26.1,31.5,22.2,67.8,0.0,0.0,0.0,,,,,27.7,127.1,1011.5,57.4,13.7,,,,,2003-11-02T04:54:50,2003-11-02T17:14:00,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82599099999
"Natal, RN, Brasil",2003-11-03,32.1,25.1,28.8,38.0,25.1,32.2,23.5,73.7,0.0,0.0,0.0,,,,,33.5,117.0,1010.9,65.4,13.6,,,,,2003-11-03T04:54:41,2003-11-03T17:14:08,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82599099999
"Natal, RN, Brasil",2003-11-04,32.2,26.1,29.1,36.9,26.1,32.5,23.4,72.1,0.0,0.0,0.0,,,,,27.7,102.5,1011.6,56.5,14.1,,,,,2003-11-04T04:54:33,2003-11-04T17:14:17,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82599099999
"Natal, RN, Brasil",2003-11-05,33.1,26.1,29.5,38.2,26.1,33.0,23.6,71.9,0.0,0.0,0.0,,,,,29.5,115.7,1012.5,50.5,13.9,,,,,2003-11-05T04:54:26,2003-11-05T17:14:26,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82599099999
"Natal, RN, Brasil",2003-11-06,33.1,26.1,29.6,38.2,26.1,33.4,23.3,69.9,0.0,0.0,0.0,,,,,37.1,130.3,1012.2,45.8,14.0,,,,,2003-11-06T04:54:19,2003-11-06T17:14:36,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82599099999
"Natal, RN, Brasil",2003-11-07,33.1,25.9,29.1,37.1,25.9,32.3,23.1,70.6,0.0,0.0,0.0,,,,,25.9,135.4,1011.5,59.5,13.9,,,,,2003-11-07T04:54:14,2003-11-07T17:14:47,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82599099999
"Natal, RN, Brasil",2003-11-08,32.1,26.1,28.8,36.9,26.1,32.4,23.5,73.4,0.0,0.0,0.0,,,,,25.9,134.8,1012.5,63.9,13.0,,,,,2003-11-08T04:54:09,2003-11-08T17:14:59,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82599099999
"Natal, RN, Brasil",2003-11-09,32.1,26.1,29.0,36.9,26.1,32.0,22.8,69.8,0.0,0.0,0.0,,,,,27.7,130.2,1012.7,44.2,14.0,,,,,2003-11-09T04:54:06,2003-11-09T17:15:12,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82599099999
"Natal, RN, Brasil",2003-11-10,32.6,26.1,29.6,36.1,26.1,32.7,22.6,66.6,0.0,0.0,0.0,,,,,37.1,134.4,1012.3,46.3,14.0,,,,,2003-11-10T04:54:04,2003-11-10T17:15:25,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82599099999
"Natal, RN, Brasil",2003-11-11,33.1,26.1,29.6,37.0,26.1,32.7,22.4,66.0,0.0,0.0,0.0,,,,,33.5,138.9,1012.5,47.9,13.6,,,,,2003-11-11T04:54:02,2003-11-11T17:15:39,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82599099999
