name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Recife, PE, Brasil",2003-10-31,29.1,26.1,27.6,30.9,26.1,28.8,20.1,63.8,0.0,0.0,0.0,,,,,18.4,143.6,1011.9,50.9,14.1,,,,,2003-10-31T04:51:30,2003-10-31T17:14:44,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-01,29.1,26.1,27.3,31.4,26.1,28.5,20.6,66.8,0.0,0.0,0.0,,,,,14.8,113.7,1011.9,58.8,13.3,,,,,2003-11-01T04:51:16,2003-11-01T17:14:54,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-02,30.1,26.7,28.0,32.6,26.7,29.7,20.6,64.4,0.0,0.0,0.0,,,,,20.5,93.3,1011.3,73.6,13.9,,,,,2003-11-02T04:51:03,2003-11-02T17:15:05,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-03,30.2,25.1,28.1,33.4,25.1,30.1,21.6,68.1,0.0,0.0,0.0,,,,,20.5,74.5,1010.6,59.2,13.6,,,,,2003-11-03T04:50:51,2003-11-03T17:15:16,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-04,31.2,26.1,28.6,33.8,26.1,30.6,21.2,65.1,0.0,0.0,0.0,,,,,27.7,70.1,1010.9,48.3,14.0,,,,,2003-11-04T04:50:39,2003-11-04T17:15:28,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-05,30.2,25.1,28.2,33.4,25.1,30.4,21.7,67.9,0.0,0.0,0.0,,,,,18.4,106.2,1012.2,44.3,14.1,,,,,2003-11-05T04:50:29,2003-11-05T17:15:41,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-06,30.1,27.1,28.4,33.4,29.3,30.8,21.7,67.2,0.0,0.0,0.0,,,,,18.4,130.4,1012.1,55.8,14.0,,,,,2003-11-06T04:50:19,2003-11-06T17:15:54,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-07,30.1,26.1,28.1,33.4,26.1,29.9,21.2,66.5,0.0,0.0,0.0,,,,,18.4,116.2,1011.4,51.7,14.0,,,,,2003-11-07T04:50:11,2003-11-07T17:16:08,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-08,30.1,27.1,28.4,33.4,28.8,30.6,21.3,65.6,0.0,0.0,0.0,,,,,18.4,112.1,1012.6,52.9,14.0,,,,,2003-11-08T04:50:04,2003-11-08T17:16:23,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-09,30.1,26.1,28.2,32.6,26.1,30.2,21.1,65.4,0.0,0.0,0.0,,,,,20.5,108.1,1012.9,62.5,14.0,,,,,2003-11-09T04:49:57,2003-11-09T17:16:38,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-10,30.1,26.1,28.3,32.6,26.1,30.3,21.1,65.3,0.0,0.0,0.0,,,,,22.3,130.0,1012.8,50.4,13.5,,,,,2003-11-10T04:49:52,2003-11-10T17:16:55,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-11,30.1,25.1,27.0,33.4,25.1,28.6,21.8,73.5,0.0,0.0,0.0,,,,,27.7,140.0,1012.5,73.6,12.0,,,,,2003-11-11T04:49:47,2003-11-11T17:17:12,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-12,30.1,26.1,28.0,32.6,26.1,29.6,21.1,66.5,0.0,0.0,0.0,,,,,18.4,125.1,1013.2,52.9,13.6,,,,,2003-11-12T04:49:44,2003-11-12T17:17:29,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-13,30.7,26.9,28.3,33.1,28.5,30.1,20.6,63.3,0.0,0.0,0.0,,,,,18.4,104.0,1013.9,55.0,14.0,,,,,2003-11-13T04:49:41,2003-11-13T17:17:48,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-14,30.1,25.1,28.2,32.0,25.1,29.7,20.4,63.3,0.0,0.0,0.0,,,,,14.8,122.6,1013.4,50.8,14.0,,,,,2003-11-14T04:49:40,2003-11-14T17:18:07,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-15,30.1,26.1,28.4,32.0,26.1,30.4,21.2,65.5,0.0,0.0,0.0,,,,,22.3,131.9,1013.6,57.9,14.0,,,,,2003-11-15T04:49:39,2003-11-15T17:18:26,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-16,30.7,25.9,27.8,34.9,25.9,29.9,22.3,72.3,0.0,0.0,0.0,,,,,27.7,148.5,1012.8,72.1,12.4,,,,,2003-11-16T04:49:40,2003-11-16T17:18:47,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-17,30.1,25.1,27.8,33.7,25.1,29.9,22.0,71.1,0.0,0.0,0.0,,,,,18.4,146.1,1011.9,71.7,13.5,,,,,2003-11-17T04:49:41,2003-11-17T17:19:08,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-18,30.4,25.1,27.6,32.0,25.1,28.7,21.0,68.5,0.0,0.0,0.0,,,,,22.3,162.3,1011.8,66.7,12.7,,,,,2003-11-18T04:49:44,2003-11-18T17:19:30,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-19,30.4,25.1,27.9,31.6,25.1,29.2,19.8,61.6,0.0,0.0,0.0,,,,,22.3,149.5,1011.4,54.2,13.1,,,,,2003-11-19T04:49:48,2003-11-19T17:19:52,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
"Recife, PE, Brasil",2003-11-20,31.1,26.1,28.5,34.7,26.1,30.8,21.4,65.9,0.0,0.0,0.0,,,,,22.3,127.4,1012.5,62.2,14.1,,,,,2003-11-20T04:49:53,2003-11-20T17:20:15,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82899099999
