name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Sobral, CE, Brasil",2003-10-31,36.4,26.4,31.0,37.6,26.4,32.5,21.2,60.5,,0.0,0.0,,,,,11.2,56.9,,36.7,34.7,,,,,2003-10-31T05:17:52,2003-10-31T17:32:09,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82392099999
"Sobral, CE, Brasil",2003-11-01,34.7,26.4,29.7,37.1,26.4,31.6,21.2,62.1,,0.0,0.0,,,,,3.6,16.2,,73.3,34.7,,,,,2003-11-01T05:17:44,2003-11-01T17:32:13,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82392099999
"Sobral, CE, Brasil",2003-11-02,34.4,26.1,29.3,36.3,26.1,30.8,21.0,63.6,,0.0,0.0,,,,,11.2,82.7,,43.3,34.7,,,,,2003-11-02T05:17:37,2003-11-02T17:32:17,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82392099999
"Sobral, CE, Brasil",2003-11-03,37.2,26.4,31.3,35.8,26.4,31.1,16.5,46.1,,0.0,0.0,,,,,9.4,54.1,,10.0,34.7,,,,,2003-11-03T05:17:31,2003-11-03T17:32:22,0.31,Clear,Clear conditions throughout the day.,clear-day,82392099999
"Sobral, CE, Brasil",2003-11-04,35.7,27.2,30.8,36.7,28.5,32.5,19.5,52.6,,0.0,0.0,,,,,5.4,55.7,,66.7,34.7,,,,,2003-11-04T05:17:26,2003-11-04T17:32:28,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82392099999
"Sobral, CE, Brasil",2003-11-05,35.8,27.1,31.0,35.9,29.1,32.3,19.1,52.5,,0.0,0.0,,,,,3.6,81.9,,43.3,34.7,,,,,2003-11-05T05:17:22,2003-11-05T17:32:34,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82392099999
"Sobral, CE, Brasil",2003-11-06,37.1,27.1,31.5,37.5,29.3,33.0,19.6,53.1,,0.0,0.0,,,,,18.4,62.6,,80.0,34.7,,,,,2003-11-06T05:17:18,2003-11-06T17:32:42,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82392099999
"Sobral, CE, Brasil",2003-11-07,35.7,26.7,30.6,36.6,26.7,31.7,19.7,54.6,,0.0,0.0,,,,,16.6,67.0,,53.3,34.7,,,,,2003-11-07T05:17:16,2003-11-07T17:32:50,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82392099999
"Sobral, CE, Brasil",2003-11-08,35.2,26.9,30.8,34.5,28.6,31.6,18.0,49.8,,0.0,0.0,,,,,18.4,57.9,,40.0,34.7,,,,,2003-11-08T05:17:14,2003-11-08T17:32:59,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82392099999
"Sobral, CE, Brasil",2003-11-09,36.7,26.4,31.3,36.6,26.4,31.9,18.2,48.8,,0.0,0.0,,,,,9.4,72.8,,53.3,34.7,,,,,2003-11-09T05:17:14,2003-11-09T17:33:08,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82392099999
"Sobral, CE, Brasil",2003-11-10,35.8,26.9,30.7,35.4,28.2,31.3,17.6,48.2,,0.0,0.0,,,,,9.4,60.4,,23.3,34.7,,,,,2003-11-10T05:17:14,2003-11-10T17:33:19,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82392099999
"Sobral, CE, Brasil",2003-11-11,35.7,27.1,31.0,36.3,28.2,32.2,18.6,49.6,,0.0,0.0,,,,,9.4,53.3,,66.7,34.7,,,,,2003-11-11T05:17:15,2003-11-11T17:33:30,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,82392099999
